year,month,disabled,injured,dead
2010,1,68,"25,350",747
2010,2,55,"24,938",668
2010,3,58,"26,318",756
2010,4,55,"25,271",754
2010,5,66,"24,308",653
2010,6,64,"24,660",638
2010,7,73,"25,718",687
2010,8,66,"24,593",624
2010,9,53,"24,607",644
2010,10,52,"26,081",703
2010,11,63,"27,984",819
2010,12,87,"27,659",883
2011,1,122,"25,119",913
2011,2,109,"23,372",906
2011,3,95,"25,484",909
2011,4,102,"22,432",835
2011,5,83,"22,219",776
2011,6,88,"22,126",747
2011,7,84,"22,017",649
2011,8,53,"22,884",647
2011,9,51,"22,525",612
2011,10,63,"24,099",693
2011,11,57,"24,967",741
2011,12,63,"26,832",938
2012,1,81,"25,144",786
2012,2,54,"23,072",702
2012,3,53,"25,703",763
2012,4,62,"23,668",711
2012,5,63,"22,664",674
2012,6,54,"22,659",646
2012,7,59,"23,224",650
2012,8,52,"23,540",614
2012,9,68,"22,279",583
2012,10,56,"23,144",682
2012,11,83,"24,463",771
2012,12,119,"25,004",930
2013,1,68,"24,381",801
2013,2,65,"23,721",737
2013,3,65,"25,605",849
2013,4,73,"24,368",801
2013,5,70,"22,759",662
2013,6,65,"23,123",710
2013,7,56,"24,318",731
2013,8,50,"23,163",681
2013,9,53,"22,336",649
2013,10,63,"23,919",691
2013,11,51,"25,005",793
2013,12,68,"26,149",832
2014,1,166,"23,307",730
2014,2,183,"22,362",663
2014,3,164,"23,397",658
2014,4,167,"22,995",659
2014,5,132,"22,184",587
2014,6,108,"22,373",601
2014,7,88,"22,873",678
2014,8,71,"22,784",711
2014,9,60,"22,913",627
2014,10,68,"24,242",736
2014,11,69,"24,989",815
2014,12,63,"25,973",899
2015,1,151,"14,960",419
2015,2,134,"15,498",462
2015,3,142,"16,962",543
2015,4,196,"17,743",469
2015,5,142,"16,992",417
2015,6,134,"18,407",419
2015,7,178,"19,051",489
2015,8,134,"18,351",426
2015,9,131,"18,815",478
2015,10,145,"20,581",574
2015,11,167,"22,927",611
2015,12,177,"24,664",782
